"Name","Price","ProducerName","MPN","Socket","ChipSet","Unlocked","FormFactor","MemoryType","MemoryCapacity","RAMSlots","SATA","VGA","DVI","Display Port","HDMI","Wifi","Integrated Graphics","ProductPage"
"Gigabyte Z270M-D3P",0,"Gigabyte","GA-Z270M-D3P","LGA 1151","Z270","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Gigabyte Z270X-Ultra Gaming",143.68,"Gigabyte","GA-Z270X-Ultra Gaming","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-GA-Z270X-Ultra-Gaming-LGA1151-Motherboard/dp/B01N66ZESI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N66ZESI"
"Gigabyte Z270XP-SLI",148.75,"Gigabyte","GA-Z270XP-SLI","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-GA-Z270XP-SLI-LGA1151-Intel-Motherboard/dp/B01N1T2WXL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N1T2WXL"
"Gigabyte Z370 PD3",0,"Gigabyte","GA-Z370P-D3","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Gigabyte Z390 I Aorus Pro WiFi",194.39,"Gigabyte","Z390 I AORUS PRO WIFI","LGA 1151","Z390","FALSE","Mini-ITX","DDR4","32 GB",2,4,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07JBX52TM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Z390 UD",93.56,"Gigabyte","Z390 UD","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HS59X7P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Z490 Aorus Elite",0,"Gigabyte","Z490 AORUS ELITE","LGA 1200","Z490","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"Gigabyte Z490 Aorus Elite AC",0,"Gigabyte","Z490 AORUS ELITE AC","LGA 1200","Z490","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"Gigabyte Z490 Vision G",0,"Gigabyte","Z490 Vision G","LGA 1200","Z490","TRUE","ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z490I Aorus Ultra",0,"Gigabyte","Z490I AORUS ULTRA","LGA 1200","Z490","TRUE","Mini-ITX","DDR4","32 GB",2,2,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z690 Aorus Elite DDR4",0,"Gigabyte","Z690 AORUS ELITE DDR4","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"Gigabyte Z690 Aorus Master",0,"Gigabyte","Z690 AORUS MASTER","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z690 Aorus Pro",0,"Gigabyte","Z690 AORUS PRO","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,0,"TRUE","FALSE",""
"Gigabyte Z690 UD AX",0,"Gigabyte","Z690 UD AX","LGA 1700","Z690","TRUE","ATX","DDR5","256 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"Gigabyte Z97-HD3",0,"Gigabyte","GA-Z97-HD3","LGA 1150","Z97","TRUE","ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"MSI 970A SLI Krait Edition",0,"MSI","7693-050R","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI 970A-G43",0,"MSI","7693-030R","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI A68HM Grenade",0,"MSI","7891-001R","FM2+","A68H","FALSE","Micro-ATX","DDR3","32 GB",2,4,1,1,0,1,"FALSE","FALSE",""
"MSI B150M Bazooka",0,"MSI","7982-004R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B150M Mortar",0,"MSI","7972-002R","LGA 1151","B150","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Bazooka",0,"MSI","7A70-001R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Mortar",0,"MSI","7A69-003R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B250M Pro-VDH",0,"MSI","7A70-003R","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI B350 Tomahawk",109.29,"MSI","7A36-002R","AM4","B350","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/msi-B350-TOMAHAWK-Tomahawk-Motherboard/dp/B06WVFFXXL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WVFFXXL"
"MSI B360M Mortar",101.28,"MSI","7B23-001R","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07BZ3NDY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B365M Pro-VDH, socket 1151",0,"MSI","7C39-001R","LGA 1151","B365","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"MSI B450 Gaming Plus Max, AMD B450",159.57,"MSI","7B86-016R","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08JNKRDR7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450 Tomahawk",126.09,"MSI","7C02-002R","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07F7W5KJS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450 Tomahawk Max",94.28,"MSI","7C02-020R","AM4","B450","TRUE","ATX","DDR4","GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07WF6ZQST?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450-A Pro",87.04,"MSI","7B86-001R","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/MSI-ProSeries-Crossfire-Motherboard-PRO/dp/B07F85YW8R?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07F85YW8R"
"MSI B450I Gaming Plus AC",78.97,"MSI","7A40-004R","AM4","B450","TRUE","Mini-ITX","DDR4","64 GB",4,4,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07F83RY49?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI B450M Bazooka",0,"MSI","7A38-015R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B450M Bazooka Plus",0,"MSI","7B90-001R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,1,"FALSE","FALSE",""
"MSI B450M Mortar",0,"MSI","7B89-001R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"MSI B450M Mortar Max, AMD B450-, socket AM4",0,"MSI","7B89-016R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B450M Mortar Titanium",0,"MSI","7B89-002R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"MSI B450M Pro-VDH Max, AMD B450-, socket AM4",64.54,"MSI","7A38-043R","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07XH629TV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI H110M Pro-VD",0,"MSI","7996-007R","LGA 1151","H110","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"MSI H270M Mortar ARCTIC",0,"MSI","7A69-002R","LGA 1151","H270","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI H81M-E34 GL/SATA600/USB3.0/DVI/HDMI/VGA H81",0,"MSI","7817-058R","LGA 1150","H81","FALSE","Micro-ATX","DDR3","GB",2,"","","","","","FALSE","FALSE",""
"MSI H81M-P33 GL/SATA600/USB3.0/DVI/VGA H81",0,"MSI","7817-019R","LGA 1150","H81","FALSE","Micro-ATX","DDR3","GB",2,"","","","","","FALSE","FALSE",""
"MSI H97M-G43",0,"MSI","7924-002R","LGA 1150","H97","FALSE","Micro-ATX","DDR3","GB",4,6,"","","","","FALSE","FALSE",""
"MSI MAG B365M Mortar, socket 1151",0,"MSI","7C67-001R","LGA 1151","B365","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"MSI MAG B660M MORTAR WIFI DDR4",181.34,"MSI","7D42-004R","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE","https://www.amazon.ca/dp/B09PXD16F6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI MAG X570 Tomahawk WiFi",0,"MSI","7C84-001R","AM4","X570","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI MAG Z690 Tomahawk WiFi",0,"MSI","7D32-008R","LGA 1700","Z690","TRUE","ATX","DDR5","256 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"MSI MAG Z690 Tomahawk WiFi DDR4",0,"MSI","7D32-002R","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"MSI MAG Z690 Torpedo",0,"MSI","7D32-001R","LGA 1700","Z690","TRUE","ATX","DDR5","256 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"MSI MEG Z490 Unify",0,"MSI","7C71-009R","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI PRO B660-A DDR4",152.32,"MSI","7D59-001R","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,2,2,"FALSE","FALSE","https://www.amazon.ca/dp/B09PXGNVD3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI Pro B760M-E DDR4",0,"MSI","7D48-008R","LGA 1700","B760","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,0,0,1,"FALSE","FALSE",""
"MSI Pro B760M-P DDR4",0,"MSI","7E02-001R","LGA 1700","B760","FALSE","Micro-ATX","DDR4","128 GB",4,4,1,0,1,1,"FALSE","FALSE",""
"MSI Pro Z690-A",0,"MSI","7D25-011R","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"MSI Pro Z690-A DDR4",193.66,"MSI","7D25-002R","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B09GLD6LYW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"MSI Pro Z690-A WiFi DDR4",0,"MSI","7D25-012R","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"TRUE","FALSE",""
"MSI X399 Gaming Pro Carbon AC",395.32,"MSI","7B09-010R","TR4","X399","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ThreadRipper-Extended-ATX-Motherboard-X399-PRO/dp/B074DHQR9N?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074DHQR9N"
"MSI X99A Raider",0,"MSI","7885-036R","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"MSI Z170-A Pro",0,"MSI","7971-013R","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,1,1,1,0,"FALSE","FALSE",""
"MSI Z170A Gaming M7",0,"MSI","7976-001R","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z170A PC Mate",0,"MSI","7971-001R","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,1,1,0,1,"FALSE","FALSE",""
"MSI Z270 Gaming PLUS",0,"MSI","7A75-001R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z270 Gaming Pro Carbon",0,"MSI","7A63-001R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z270 KRAIT Gaming",0,"MSI","7A59-001R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z270 PC MATE",0,"MSI","7A72-001R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z270 SLI PLUS",0,"MSI","7A59-002R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z270 Tomahawk",0,"MSI","7A68-002R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z270 Xpower Gaming Titanium",0,"MSI","7A58-001R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,8,0,0,1,1,"FALSE","FALSE",""
"MSI Z270-A Pro",0,"MSI","7A71-001R","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z370 Gaming Plus",0,"MSI","7B61-002R","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z370 SLI Plus",0,"MSI","7B46-002R","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z370-A Pro",0,"MSI","7B48-001R","LGA 1151","Z370","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"MSI Z490I Unify",0,"MSI","7C77-007R","LGA 1200","Z490","TRUE","Mini-ITX","DDR4","64 GB",2,2,0,0,0,0,"FALSE","FALSE",""
"MSI Z490M Gaming Edge WiFi",0,"MSI","7C79-006R","LGA 1200","Z490","TRUE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASRock 760GM-HDV",63.15,"ASRock","90-MXB7U0-A0UAYZ","AM3+","760G","FALSE","Micro-ATX","DDR3","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07DR76TPW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock 970 Extreme3 R2.0",0,"ASRock","970 EXTREME3 R2.0","AM3+","A970","FALSE","ATX","DDR3","64 GB",4,5,0,0,0,0,"FALSE","FALSE",""
"ASRock 970 Extreme4",0,"ASRock","970 EXTREME4","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,5,0,0,0,0,"FALSE","FALSE",""
"ASRock 970A-G/3.1 970",0,"ASRock","970A-G/3.1","AM3+","A970","FALSE","ATX","DDR3","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock 970M Pro3",0,"ASRock","90-MXGXE0-A0UAYZ","AM3+","A970","FALSE","ATX","DDR3","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock 990FX Extreme3",0,"ASRock","990FX EXTREME3","AM3+","990FX","FALSE","ATX","DDR3","GB",4,5,"","","","","FALSE","FALSE",""
"ASRock 990FX Extreme6",0,"ASRock","990FX Extreme6","AM3+","990FX","FALSE","ATX","DDR3","64 GB",4,5,0,0,0,0,"FALSE","FALSE",""
"ASRock A320M",0,"ASRock","90-MXB590-A0UAYZ","AM4","A320","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock A320M Pro4",78.96,"ASRock","90-MXB540-A0UAYZ","AM4","A320","FALSE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/ASRock-A320M-PRO4-Motherboard/dp/B06XNX9VMZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XNX9VMZ"
"ASRock A320M Pro4 R2.0",0,"ASRock","90-MXB9H0-A0UAYZ","AM4","A320","FALSE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,1,"FALSE","FALSE",""
"ASRock A320M Pro4-F",0,"ASRock","90-MXBAA0-A0UAYZ","AM4","A320","FALSE","Micro-ATX","DDR4","64 GB",4,4,1,1,0,1,"FALSE","FALSE",""
"ASRock A320M-DGS",57.41,"ASRock","90-MXB5A0-A0UAYZ","AM4","A320","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-A320M-DGS-Motherboard/dp/B06XKXKMYB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XKXKMYB"
"ASRock A320M-HDV",0,"ASRock","90-MXB3T0-A0UAYZ","AM4","A320","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock A520M Pro4",0,"ASRock","90-MXBDU0-A0UAYZ","AM4","A520","FALSE","Micro-ATX","DDR4","128 GB",4,4,1,0,1,1,"FALSE","FALSE",""
"ASRock A520M-HDV",69.22,"ASRock","90-MXBE50-A0UAYZ","AM4","A520","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,1,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08G1Y95SZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock A520M-HVS",0,"ASRock","90-MXBE60-A0UAYZ","AM4","A520","FALSE","Micro-ATX","DDR4","64 GB",2,4,1,0,0,1,"FALSE","FALSE",""
"ASRock A520M-ITX/AC",121.41,"ASRock","90-MXBDG0-A0UAYZ","AM4","A520","FALSE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,1,"TRUE","FALSE","https://www.amazon.ca/dp/B08G1WLVR2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock AB350 Pro4 BTC, AMD B350",98.78,"ASRock","90-MXB510-A0UAYZ","AM4","B350","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-AB350-PRO4-ATX-Motherboard/dp/B06WWF165R?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WWF165R"
"ASRock AB350M",0,"ASRock","90-MXB580-A0UAYZ","AM4","B350","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASRock AB350M Pro4, AMD B350",0,"ASRock","90-MXB520-A0UAYZ","AM4","B350","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASRock AB350M-HDV",68.9,"ASRock","90-MXB3P0-A0UAYZ","AM4","B350","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-AB350M-HDV-Socket-MicroATX-Motherboard/dp/B06WWC7BTJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WWC7BTJ"
"ASRock AB350M-HDV R3.0",0,"ASRock","90-MXB990-A0UAYZ","AM4","B350","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,1,"FALSE","FALSE",""
"ASRock AB350M-HDV R4.0, AMD B350",0,"ASRock","90-MXB9K0-A0UAYZ","AM4","B350","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,1,"FALSE","FALSE",""
"ASRock AM1H-ITX",0,"ASRock","AM1H-ITX","AM1","SoC","FALSE","Mini-ITX","DDR3","16 GB",2,4,1,1,1,1,"FALSE","FALSE",""
"ASRock B150M-HDS",0,"ASRock","B150M-HDS","LGA 1151","B150","FALSE","Micro-ATX","DDR4","32 GB",2,4,0,1,0,1,"FALSE","FALSE",""
"ASRock B250M Pro4",84.86,"ASRock","90-MXB3C0-A0UAYZ","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-Motherboards-B250M-PRO4/dp/B01N0LMLMM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N0LMLMM"
"ASRock B250M-HDV",68.17,"ASRock","90-MXB3J0-A0UAYZ","LGA 1151","B250","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-B250M-HDV-LGA1151-MicroATX-Motherboard/dp/B01N9BY912?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N9BY912"
"ASRock B360 Gaming K4 Fatal1ty",0,"ASRock","90-MXB6Y0-A0UAYZ","LGA 1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASRock B360M-HDV",79.05,"ASRock","90-MXB730-A0UAYZ","LGA 1151","B360","FALSE","Micro-ATX","DDR4","32 GB",2,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-B360M-HDV-CrossFireX-MicroATX-Motherboards/dp/B07BMVGW1Q?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMVGW1Q"
"ASRock B450 Gaming ITX/ac, AMD B450",119.68,"ASRock","90-MXB870-A0UAYZ","AM4","B450","TRUE","Mini-ITX","DDR4","32 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07FVVNDFX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450 Gaming K4, AMD B450",90.66,"ASRock","90-MXB8A0-A0UAYZ","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07FW5ZMHQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450 Pro 4, AMD B450",87.04,"ASRock","90-MXB8B0-A0UAYZ","AM4","B450","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07FVYKJHR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450 Steel Legend",114.2,"ASRock","90-MXBA00-A0UAYZ","AM4","B450","TRUE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07MV7LR1B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450M Pro4, AMD B450",117.59,"ASRock","90-MXB8F0-A0UAYZ","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07FVYKFXF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450M Pro4-F",72.53,"ASRock","90-MXBAB0-A0UAYZ","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,4,1,1,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07QXNJHV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450M-HDV",90.66,"ASRock","90-MXB830-A0UAYZ","AM4","B450","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07MWGKHR9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B450M-HDV R4.0, AMD B450",98.77,"ASRock","90-MXB9N0-A0UAYZ","AM4","B450","TRUE","Micro-ATX","DDR4","32 GB",2,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07MWGKHR9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B460 Phantom Gaming 4",0,"ASRock","90-MXBCP0-A0UAYZ","LGA 1200","B460","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock B460 Pro4",0,"ASRock","90-MXBCN0-A0UAYZ","LGA 1200","B460","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASRock B460 Steel Legend",0,"ASRock","90-MXBCQ0-A0UAYZ","LGA 1200","B460","FALSE","ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASRock B460M Pro4",0,"ASRock","90-MXBCV0-A0UAYZ","LGA 1200","B460","FALSE","Micro-ATX","DDR4","128 GB",4,6,1,0,0,1,"FALSE","FALSE",""
"ASRock B460M Steel Legend",0,"ASRock","90-MXBDQ0-A0UAYZ","LGA 1200","B460","FALSE","Micro-ATX","DDR4","128 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASRock B460M-HDV",80.83,"ASRock","90-MXBD30-A0UAYZ","LGA 1200","B460","FALSE","Micro-ATX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B088ZWDD54?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B460M-ITX/ac",0,"ASRock","90-MXBCS0-A0UAYZ","LGA 1200","B460","FALSE","Mini-ITX","DDR4","64 GB",2,4,0,0,0,0,"FALSE","FALSE",""
"ASRock B550 Extreme4",188.6,"ASRock","90-MXBDE0-A0UAYZ","AM4","B550","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B089RBYRD5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock B550 PG Riptide",0,"ASRock","90-MXBGH0-A0UAYZ","AM4","B550","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASRock B550 PG Velocita",214.78,"ASRock","90-MXBD90-A0UAYZ","AM4","B550","FALSE","ATX","DDR4","128 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B089W55GQJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
